,race_id,class,race_name,stakes,going,track_type,time_1,time_2,time_3,split_1,split_2,split_3
0,RACE 7 (696),Class 4 - 1650M - (60-40),SPOONBILL HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(27.69),(50.40),(1:14.07),27.69,22.71,23.67
0,RACE 8 (697),Class 3 - 1200M - (80-60),FLAMINGO HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(22.73),(44.41),(1:08.61),22.73,21.68,24.20
0,RACE 9 (698),Class 3 - 1650M - (80-60),PEACOCK HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(28.10),(51.00),(1:14.38),28.10,22.90,23.38
0,RACE 1 (679),Griffin Race - 1200M,PAKISTAN STAR PLATE,"HK$ 850,000",GOOD,"TURF - ""A"" Course",(25.21),(48.28),(1:10.78),25.21,23.07,22.50
0,RACE 2 (680),Class 4 - 1400M - (60-40),LIBERATOR HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(13.45),(35.43),(58.72),13.45,21.98,23.29
0,RACE 3 (681),Class 4 - 1600M - (60-40),MIGHTY HIGH HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(24.31),(46.65),(1:10.83),24.31,22.34,24.18
0,RACE 4 (682),Group Three - 1200M,THE SHA TIN VASE (HANDICAP),"HK$ 3,250,000",GOOD,"TURF - ""A"" Course",(24.79),(46.76),(1:08.96),24.79,21.97,22.20
0,RACE 5 (683),Class 3 - 1200M - (80-60),WERTHER HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.63),(46.30),(1:08.75),23.63,22.67,22.45
0,RACE 6 (684),Class 4 - 1200M - (60-40),MR MEDICI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.54),(45.80),(1:09.45),23.54,22.26,23.65
0,RACE 7 (685),Class 4 - 1200M - (60-40),HELENE SUPER STAR HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.34),(46.01),(1:09.50),23.34,22.67,23.49
0,RACE 8 (686),Group One - 2400M,THE STANDARD CHARTERED CHAMPIONS & CHATER CUP,"HK$ 10,000,000",GOOD,"TURF - ""A"" Course",(24.65),(47.94),(1:13.71),24.65,23.29,25.77
0,RACE 9 (687),Class 3 - 1800M - (80-60),BLAZING SPEED HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(13.84),(36.52),(1:00.11),13.84,22.68,23.59
0,RACE 10 (688),Class 3 - 1400M - (80-60),CALIFORNIA MEMORY HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(13.73),(35.13),(57.98),13.73,21.40,22.85
0,RACE 11 (689),Class 2 - 1400M - (100-80),VIVA PATACA HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""A"" Course",(13.28),(34.92),(58.21),13.28,21.64,23.29
0,RACE 1 (670),Class 4 - 1200M - (60-40),SHAN PUI RIVER HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(23.53),(46.90),(1:10.02),23.53,23.37,23.12
0,RACE 2 (671),Class 4 - 1800M - (60-40),TAN SHAN RIVER HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.62),(36.15),(59.89),13.62,22.53,23.74
0,RACE 3 (672),Class 4 - 1650M - (60-35),TAI SHING STREAM HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(28.08),(51.93),(1:15.66),28.08,23.85,23.73
0,RACE 4 (673),Class 3 - 1000M - (80-60),KAM TIN RIVER HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(12.39),(33.92),(56.38),12.39,21.53,22.46
0,RACE 5 (674),Class 4 - 1200M - (60-40),SHAN PUI RIVER HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.45),(46.35),(1:09.95),23.45,22.90,23.60
0,RACE 6 (675),Class 4 - 1200M - (60-40),SHAN PUI RIVER HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.46),(46.69),(1:09.74),23.46,23.23,23.05
0,RACE 7 (676),Class 3 - 1650M - (80-60),NAM CHUNG RIVER HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(27.72),(51.25),(1:15.54),27.72,23.53,24.29
0,RACE 8 (677),Class 3 - 1200M - (80-60),LAM TSUEN RIVER HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.42),(46.04),(1:09.26),23.42,22.62,23.22
0,RACE 9 (678),Class 2 - 1200M - (100-80),HO CHUNG RIVER HANDICAP,"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(23.15),(45.27),(1:08.78),23.15,22.12,23.51
0,RACE 1 (660),Class 5 - 2200M - (40-0),YUNG SHUE O HANDICAP,"HK$ 725,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.74),(36.83),(1:03.48),13.74,23.09,26.65
0,RACE 2 (661),Class 4 - 1000M - (60-40),TAI MONG TSAI HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(12.90),(33.48),(56.01),12.90,20.58,22.53
0,RACE 3 (662),Class 4 - 1200M - (60-40),WONG CHUK WAN HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(24.15),(47.39),(1:09.67),24.15,23.24,22.28
0,RACE 4 (663),Class 4 - 1400M - (60-40),WONG MA TEI HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.43),(35.85),(58.64),13.43,22.42,22.79
0,RACE 5 (664),Class 4 - 1400M - (60-40),WONG MA TEI HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.45),(35.85),(58.94),13.45,22.40,23.09
0,RACE 6 (665),Class 3 - 1000M - (80-60),LAI CHI CHONG HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(12.90),(33.07),(55.24),12.90,20.17,22.17
0,RACE 7 (666),Class 3 - 1600M - (80-60),SHUI LONG WO HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(24.31),(47.01),(1:11.33),24.31,22.70,24.32
0,RACE 8 (667),Class 2 - 1800M - (100-80),HOI HA HANDICAP,"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(14.17),(37.06),(1:01.71),14.17,22.89,24.65
0,RACE 9 (668),Class 3 - 1400M - (80-60),SHAM CHUNG HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(13.35),(34.94),(57.97),13.35,21.59,23.03
0,RACE 10 (669),Class 3 - 1200M - (80-60),PAK SHA O HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C+3"" Course",(24.10),(46.52),(1:08.89),24.10,22.42,22.37
0,RACE 1 (651),Class 5 - 1200M - (40-0),SIU MA SHAN HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(23.60),(46.41),(1:10.47),23.60,22.81,24.06
0,RACE 2 (652),Class 4 - 1650M - (60-40),POTTINGER PEAK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(27.30),(50.26),(1:14.96),27.30,22.96,24.70
